_id,client_ip,login_timestamp,login_epoch,logout_timestamp,logout_epoch,session_duration,status,error_code,device_type,device,device_model,os_name,os_version,client_name,client_version,login_method,access_token,refresh_token,redis_request_id,session_expiry,session_expiry_epoch,header_data,api_version,employee_id,employee_name,is_manually_logout,application_identifier,session_data,response_data,username,is_refresh_token_used,employee_number,Rule_Based_Anomaly,Model_Result,Final_Result,anomaly_score
333,15,332,1751709541745,278,1751720929492.0,11387747.0,True,-1,0,0,0,2,0,0,137.0,0,382,382,9,274,1751716741745.0,9,1,999999,22,False,0,27,42,30,False,999999.0,0,Anomaly,Anomaly,0.1098422695661535
355,21,354,1751721112706,280,1751721366451.0,253745.0,True,-1,0,0,0,2,0,2,140.0,0,410,410,380,292,1751728312706.0,32,1,999999,22,True,0,7,39,30,False,999999.0,0,Anomaly,Anomaly,0.1183148713752743
489,16,488,1755169404002,-1,,,False,1,0,0,0,1,4,0,139.0,0,-1,-1,-1,-1,,45,1,108525,37,False,0,413,-1,63,False,108389.0,0,Anomaly,Anomaly,0.06791877455033735
254,54,253,1751460068213,191,1751460251582.0,183369.0,True,-1,1,0,0,0,0,1,137.0,0,300,300,98,201,1751467268213.0,446,1,106293,14,True,0,172,24,26,False,106161.0,0,Anomaly,Anomaly,0.12626887924865715
255,54,254,1751460266846,192,1751460563431.0,296585.0,True,-1,1,0,0,0,0,1,137.0,0,163,163,78,202,1751467466846.0,469,1,3612,33,True,0,388,61,51,False,4779.0,0,Anomaly,Anomaly,0.10295707923562103
256,54,255,1751460581598,193,1751460619960.0,38362.0,True,-1,1,0,0,0,0,1,137.0,0,322,322,332,203,1751467781598.0,440,1,106293,14,True,0,173,24,26,False,106161.0,0,Anomaly,Anomaly,0.11881076199567642
257,54,256,1751460634755,194,1751460774964.0,140209.0,True,-1,1,0,0,0,0,1,137.0,0,291,291,8,204,1751467834755.0,441,1,106293,14,True,0,174,24,26,False,106161.0,0,Anomaly,Anomaly,0.1202774277710339
258,54,257,1751460787691,195,1751460801145.0,13454.0,True,-1,1,0,0,0,0,1,137.0,0,171,171,343,205,1751467987691.0,468,1,3612,33,True,0,389,61,51,False,4779.0,0,Anomaly,Anomaly,0.11211580471001303
259,54,258,1751460834746,196,1751482355789.0,21521043.0,True,-1,1,0,0,0,0,1,137.0,0,162,162,49,206,1751468034746.0,467,1,3612,33,False,0,390,61,51,False,4779.0,0,Anomaly,Anomaly,0.10638934578125936
260,54,259,1751482355789,200,1751599142592.0,116786803.0,True,-1,1,0,0,0,0,1,137.0,0,167,167,320,207,1751489555789.0,473,1,3612,33,False,0,391,61,51,False,4779.0,0,Anomaly,Anomaly,0.10062543752677178
267,123,266,1751606904289,212,1751616796509.0,9892220.0,True,-1,1,0,0,0,0,1,138.0,0,172,172,349,214,1751614104289.0,472,1,3612,33,False,0,393,61,51,False,4779.0,0,Anomaly,Anomaly,0.08225916291296986
496,12,495,1756452319504,-1,,,False,1,0,0,0,2,0,2,142.0,0,-1,-1,-1,-1,,137,1,33109,5,False,0,413,-1,9,False,34276.0,0,Anomaly,Anomaly,0.11365170121484747
269,21,268,1751608538125,214,1751618557731.0,10019606.0,True,-1,0,0,0,2,0,2,140.0,0,385,385,31,216,1751615738125.0,24,1,999999,22,False,0,19,41,30,False,999999.0,0,Anomaly,Anomaly,0.1232545928178364
280,15,279,1751618557731,216,1751623443053.0,4885322.0,True,-1,0,0,0,2,0,0,137.0,0,386,386,48,227,1751625757731.0,6,1,999999,22,True,0,20,41,30,False,999999.0,0,Anomaly,Anomaly,0.12009446312315131
282,14,281,1751623702134,218,1751623906235.0,204101.0,True,-1,0,0,0,2,0,3,138.0,0,402,402,253,229,1751630902134.0,4,1,999999,22,True,0,22,41,30,False,999999.0,0,Anomaly,Anomaly,0.09667937211031763
321,56,320,1751707388010,-1,,,False,1,1,0,0,0,0,1,137.0,0,-1,-1,-1,-1,,113,1,999999,22,False,0,413,-1,30,False,999999.0,0,Anomaly,Anomaly,0.019314200009184157
295,15,294,1751629371574,226,1751630337861.0,966287.0,True,-1,0,0,0,2,0,0,137.0,0,400,400,245,238,1751636571574.0,7,1,999999,22,True,0,23,41,30,False,999999.0,0,Anomaly,Anomaly,0.12252339042438132
373,86,372,1751872650031,295,1751873384278.0,734247.0,True,-1,0,0,0,2,0,2,140.0,0,354,354,56,308,1751879850031.0,497,1,109292,47,True,0,270,85,69,False,109156.0,0,Anomaly,Anomaly,0.12666138365389334
399,62,398,1751970092200,308,1751970317920.0,225720.0,True,-1,0,0,0,2,1,2,115.0,0,364,364,119,321,1751977292200.0,370,1,110818,18,True,0,88,32,33,False,110682.0,0,Anomaly,Anomaly,0.1169068251507348
296,8,295,1751630358335,252,1751707410307.0,77051972.0,True,-1,0,0,0,2,0,0,137.0,0,409,409,379,239,1751637558335.0,5,1,999999,22,False,0,24,41,30,False,999999.0,0,Anomaly,Anomaly,0.0963243707917174
322,56,321,1751707410307,256,1751708818496.0,1408189.0,True,-1,1,0,0,0,0,1,137.0,0,407,407,334,263,1751714610307.0,16,1,999999,22,True,0,25,42,30,False,999999.0,0,Anomaly,Anomaly,0.01446617625964608
398,62,397,1751969708131,309,1751970338327.0,630196.0,True,-1,0,0,0,2,1,2,115.0,0,39,39,386,320,1751976908131.0,283,1,85116,11,True,0,370,21,19,False,86283.0,0,Anomaly,Anomaly,0.11032340995769796
400,62,399,1751970338327,310,1751970437147.0,98820.0,True,-1,0,0,0,2,1,2,115.0,0,28,28,137,322,1751977538327.0,498,1,85116,11,True,0,371,21,19,False,86283.0,0,Anomaly,Anomaly,0.10807124745785257
402,62,401,1751970467422,311,1751970715032.0,247610.0,True,-1,0,0,0,2,1,2,115.0,0,361,361,87,324,1751977667422.0,369,1,110818,18,True,0,89,32,33,False,110682.0,0,Anomaly,Anomaly,0.11710553470744434
362,21,361,1751869591767,314,1751973772649.0,104180882.0,True,-1,0,0,0,2,0,2,140.0,0,389,389,88,299,1751876791767.0,31,1,999999,22,False,0,8,40,30,False,999999.0,0,Anomaly,Anomaly,0.10459722772748359
405,15,404,1751973772649,317,1751976464295.0,2691646.0,True,-1,0,0,0,2,0,0,138.0,0,397,397,220,327,1751980972649.0,11,1,999999,22,True,0,9,40,30,False,999999.0,0,Anomaly,Anomaly,0.10451800442917802
406,19,405,1751976464295,318,1751976737826.0,273531.0,True,-1,0,0,0,1,4,0,133.0,0,383,383,3,328,1751983664295.0,480,1,999999,22,True,0,10,40,30,False,999999.0,0,Anomaly,Anomaly,0.009118315289672552
407,21,406,1751977403374,319,1751978484177.0,1080803.0,True,-1,0,0,0,2,0,2,140.0,0,405,405,297,329,1751984603374.0,27,1,999999,22,True,0,11,40,30,False,999999.0,0,Anomaly,Anomaly,0.12106559014892715
408,21,407,1751980481919,321,1752138116889.0,157634970.0,True,-1,0,0,0,2,0,2,140.0,0,404,404,295,330,1751987681919.0,20,1,999999,22,False,0,12,40,30,False,999999.0,0,Anomaly,Anomaly,0.10918255002221933
